label,statement,job_title,party_affiliation,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context
0,says the annies list political group supports thirdtrimester abortions on demand,7,0,0.0,1.0,0.0,0.0,0.0,10
1,when did the decline of coal start it started when natural gas took off that started to begin in president george w bushs administration,15,1,0.0,0.0,1.0,1.0,0.0,3
2,hillary clinton agrees with john mccain by voting to give george bush the benefit of the doubt on iran,1,1,70.0,71.0,160.0,163.0,9.0,13
3,the chicago bears have had more starting quarterbacks in the last  years than the total number of tenured uw faculty fired during the last two decades,15,0,0.0,3.0,2.0,5.0,1.0,13
1,im the only person on this stage who has worked actively just last year passing along with russ feingold some of the toughest ethics reform since watergate,1,1,70.0,71.0,160.0,163.0,9.0,7
2,says gop primary opponents glenn grothman and joe leibham cast a compromise vote that cost  million in higher electricity costs,7,0,0.0,0.0,0.0,1.0,0.0,13
2,for the first time in history the share of the national popular vote margin is smaller than the latino vote margin,0,1,1.0,3.0,1.0,3.0,0.0,3
1,since  nearly  million americans have slipped out of the middle class and into poverty,0,3,18.0,12.0,22.0,41.0,0.0,5
0,when mitt romney was governor of massachusetts we didnt just slow the rate of growth of our government we actually cut it,2,0,34.0,32.0,58.0,33.0,19.0,1
4,most of the affordable care act has already in some sense been waived or otherwise suspended,15,5,7.0,6.0,3.0,5.0,1.0,12
1,in this last election in november   percent of the american people chose not to vote   percent of young people and  percent of lowincome workers chose not to vote,0,3,18.0,12.0,22.0,41.0,0.0,13
3,mccain opposed a requirement that the government buy americanmade motorcycles and he said all buyamerican provisions were quote disgraceful ,1,1,70.0,71.0,160.0,163.0,9.0,9
1,water rates in manila philippines were raised up to  percent when a subsidiary of the world bank became a partial owner,15,1,3.0,4.0,4.0,3.0,1.0,13
2,almost  people left puerto rico last year,15,1,0.0,1.0,0.0,1.0,0.0,1
0,women and men both are making less when you adjust for inflation than when john kitzhaber was first elected governor,7,0,0.0,4.0,1.0,2.0,0.0,6
2,we just had the best year for the auto industry in america in history,1,1,40.0,29.0,69.0,76.0,7.0,13
4,says mitt romney wants to get rid of planned parenthood,15,2,1.0,0.0,0.0,0.0,0.0,9
0,i dont know who jonathan gruber is,15,1,3.0,7.0,11.0,2.0,3.0,8
2,hate crimes against american muslims and mosques have tripled after paris and san bernardino,1,1,40.0,29.0,69.0,76.0,7.0,3
1,rick perry has never lost an election and remains the only person to have won the texas governorship three times in landslide elections,15,0,0.0,0.0,2.0,0.0,2.0,13
0,isis supporter tweeted at  am shooting began at  am in chattanooga tenn,1,5,0.0,1.0,1.0,0.0,0.0,5
2,youth unemployment in minority communities is about  to  percent,2,0,0.0,0.0,0.0,1.0,1.0,7
3,says paul ryan is still endorsing trump,1,1,40.0,29.0,69.0,76.0,7.0,5
4,if you look at states that are right to work they constantly do not have budget deficits and they have very good business climates,6,0,1.0,0.0,0.0,0.0,0.0,9
0,what the obama administration is going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants,15,0,1.0,1.0,0.0,0.0,0.0,6
2,we cut business taxes so today  percent of our businesses dont pay a business tax,2,0,28.0,23.0,38.0,34.0,7.0,3
2,says mark pryor votes with obama  percent of the time,11,0,3.0,4.0,2.0,3.0,1.0,7
3,we have a federal government that thinks they have the authority to regulate our toilet seats,10,0,36.0,33.0,15.0,19.0,8.0,3
3,austin is a city that has basically doubled in size every  years or so since it was founded,15,1,1.0,0.0,4.0,1.0,0.0,13
3,under president george w bush we added  trillion to the debt under president obama weve added  trillion to the debt,0,0,2.0,1.0,1.0,4.0,0.0,13
0,says a us supreme court justice suggested that some us cases will be decided based on south african law,0,0,33.0,24.0,32.0,35.0,5.0,3
0,we have a director of homeland security who cannot use and will not use the term terrorist attack but instead substitutes manmade disaster ,15,0,1.0,1.0,1.0,3.0,0.0,3
1,africanamerican youth unemployment is  percent hispanic youth unemployment is  percent,0,3,18.0,12.0,22.0,41.0,0.0,7
0,president barack obama took exactly none of his own deficit reduction commissions ideas not one,15,0,13.0,22.0,11.0,4.0,2.0,1
4,says the paperback edition of mitt romneys book deleted line that massachusetts individual mandate should be the model for the country,2,0,30.0,30.0,42.0,23.0,18.0,7
0,says terry mcauliffe is the person who invented the scheme to rent out the lincoln bedroom,12,0,1.0,10.0,3.0,2.0,1.0,3
3,we created  new jobs we cut the unemployment rate almost in half and today new york state has more private sector jobs than it has ever had in its history,2,1,1.0,0.0,0.0,1.0,0.0,13
4,we have towns in west texas that are out of water that are having to truck in water,15,0,1.0,2.0,2.0,0.0,1.0,13
1,in georgia women earn  cents for every dollar earned by men,15,1,0.0,0.0,2.0,0.0,0.0,6
1,a federal system that verifies employees are authorized to work in the us is inaccurate anywhere from  percent all the way up to in excess of  percent of the time,1,2,0.0,0.0,1.0,0.0,0.0,13
4,they were going to build the wall a while ago not so long ago like in  and they couldnt get environmental impact statements,1,0,63.0,114.0,51.0,37.0,61.0,1
0,sen obamas campaign announced that hes choosing his cabinet,0,0,31.0,39.0,31.0,37.0,8.0,13
2,said hes the only republican candidate whos actually turned around a government economy,12,0,9.0,11.0,10.0,7.0,3.0,7
3,on military recruiters at harvard elena kagan took a position and the supreme court ruled unanimously that she was wrong,10,0,1.0,0.0,0.0,0.0,0.0,1
0,under mayor cicilline providence was a sanctuary city,15,5,0.0,3.0,0.0,0.0,3.0,13
5,transgender individuals in the us have a in chance of being murdered,1,1,1.0,0.0,1.0,0.0,1.0,13
3,at bain capital we helped start an early childhood learning company called bright horizons that first lady michelle obama rightly praised,2,0,34.0,32.0,58.0,33.0,19.0,13
0,says the man who rushed the stage at him in dayton ohio had chatter about isis or with isis in his social media posts,1,0,63.0,114.0,51.0,37.0,61.0,1
4,alex sink funneled three quarters of a million dollars in nobid contracts to bank of america,2,0,28.0,23.0,38.0,34.0,7.0,4
3,if you take the population growth here in virginia we are net zero on job creation since bob mcdonnell became governor,2,1,12.0,6.0,2.0,2.0,3.0,3
4,under obama home values in florida collapsed construction jobs were lost and the state had a high foreclosure rate,2,0,34.0,32.0,58.0,33.0,19.0,6
2,the new arizona immigration law says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person,6,1,0.0,0.0,0.0,1.0,0.0,1
2,the cost of health care is now the singlebiggest factor driving down the federal budget deficit,1,1,70.0,71.0,160.0,163.0,9.0,3
3,during the recession the consumer in his native perversity has begun to save the savings rate is now  percent,15,5,7.0,6.0,3.0,5.0,1.0,13
0,on whether a us supreme court nominee should be forthcoming at confirmation hearings,15,1,0.0,0.0,1.0,0.0,0.0,11
